Sentence,Mood
ppt nahi ban rahi hai,Stressed
aaj jada accha laga,Happy
unka message nahi aya, Sad
main bimar hoon,Normal
padhai nahi ho rahi hai,Stressed
Kaam karne mein mushkil ho rahi hai,Stressed
maine shopping ki,Normal
Usne jhoot bola uske liye,Sad
Aaj sab badiya hai,Normal
class mai aaj zyada kaam hai,Stressed
aaj bohot padhna hai,Stressed
mujhe aaj bohot khushi mili,Happy
mujhe gift mila, Happy
Mujhe gussa aa raha hai,Normal
yahan acha nahi lag raha hai,sad
Aaj ka din aacha tha,Happy
tumne mere sapne tode, Sad
neend aa rahi hai,Normal
tension boht hai,Stressed
aaj to party mein jaana hai,Happy
Usne mera dil dukhaya, Sad
life mein bahut pressure hai,Stressed
Main badi khush hoon,Happy
tumne mujhe ignore kiya, Sad
aaj ghar ki yaad aa rahi hai,Sad
project ka load zyada hai,Stressed
life mein koi khushi nahi hai,Sad
project chal hi nahi raha, Sad
Aaj ka din normal tha ,Normal
Mujhe kaafi stress hai,Stressed
aaj boht achha laga,Happy
tumne mere saath cheat kiya, Sad
Mujhe aaj bukhaar hai,Normal
Kaam mein mushkil hai,Stressed
Main aaj jyada khush hoon,Happy
tumne mujhe gift diya,Happy
Aaj ka din normal tha,Normal
Mujhe kaam ki tension hai,Stressed
Main aaj jyada khush hu,Happy
Usne ignore kara, Sad
Main ghar jaa raha hu,Normal
yaha rehena bahut muskil hai,Stressed
Maine aaj kuch accha seekha,Happy
mujhse baat nahi ki, Sad
Backlog boht ho gye,Stressed
Main khush hoon aaj,Happy
tumne mujhe hurt kiya, Sad
Mujhe gussa bhot aata hai,Normal
Aaj din achha tha,Happy
tumne jhoot bola, Sad
aaj kuch samajh nahi aa raha,Normal
Mujhe boht tension ho rahi hai,Stressed
Main bohot khush hoon aaj,Happy
thoda bukhaar hai aaj,Normal
Kaam mein boht mushkil hai,Stressed
Mujhe bahut khushi hui,Happy
mujhe ignore kiya usne, Sad
Mujhe ghar jaana chahiye,Normal
Kaam karne mein mushkil hai,Stressed
Maine aaj accha seekha,Happy
usne aaj baat nahi ki, Sad
life samajh nahi aa rahi,Stressed
Kaam ka bojh zyada hai,Stressed
mujhe bhot hurt huaa, Sad
bhot gussa aa raha hai,Normal
Kaam main maza aa raha hai,Happy
Aaj din badiya tha,Happy
mujhse usne jhoot bola, Sad
kaam ki tension hai,Stressed
Aaj subah ka mausam aacha tha,Happy
uski yaad boht aa rahi hai,Sad
Sab kuch normal hai,Normal
Kaam ka pressure badh raha hai,Stressed
aaj mein boht khush hoon,Happy
mein dukhi hoon,Sad
aaj alag feel ho raha hai,Normal
Coaching mein tension hai,Stressed
Ghar par sab theek hai,Normal
ab samajh aaya,Normal
Exams ki tension hai,Stressed
ghar ki yaad aa rahi hai,Sad
Thoda bimar hoon,Normal
sab theek chal hai,Normal
test sahi gaya,Happy
rank aachi nahi aayi, Sad
sb sahi hai,Normal
padhai nahi kar pa rahi,Stressed
room badiya hai,Happy
teacher message nahi dekhte, Sad
aaj marks aache hain,Normal
khana acha nahi mil raha,Stressed
Aaj khane mai mithai hai,Happy
mere sapne tod diye, Sad
Neend boht aati hain,Normal
teacher ka samjh main nahi ata,Stressed
aaj toh party hain,Happy
Yahan kaafi tension hai,Stressed
gharwalo ki yaad aa rahi hai,Sad
Kaam karne mein mushkil ho rahi hai,Stressed
mann nahi hain,Sad
mujhe dhoka mila, Sad
Din normal tha,Normal
Usne mujhe cheat kiya, Sad
coaching jaana hai,Normal
Kaam mein mushkil ho rahi hai,Stressed
Aaj kuch naya seekha,Happy
maine aaj baat nahi ki, Sad
thoda samajh nahi aa raha,Normal
Kaam ka stress badh raha hai,Stressed
Mujhe khushi ho rahi hain,Happy
tumne mujhe bhot hurt kiya, Sad
mein gussa hoon,Normal
koi friend hi nahi mila,Stressed
aaj meri taareef huyi,Happy
tumne jhoot bola, Sad
mein tension mai hoon,Stressed
friend se mila,Happy
friend ne cheat kiya, Sad
coaching ke teacher aache hain,Normal
teacher ne class ke bahar dekh liya,Stressed
dost ne party di,Happy
tumne mujhse baat nahi ki, Sad
friend ke sath hoon,Normal
marks nahi aa rahe hain,Stressed
aj to coaching nahi jana,Happy
coaching mai suicide hua hain,Sad
coaching theek chal rahi hai,Normal
padhne ka time nahi hai,Normal
coaching par party hogi,Happy
teacher ka dhyan nahi diya, Sad
aaj alag feel ho raha hai,Normal
class mein boht stress hai,Stressed
